DDB ID,Name,v1,v2,v3,v4,CH2,C=C,ACH,ACCH2,OH,CH3OH,H2O,ACOH,CH2CO,CHO,CCOO,HCOO,CH2O,CH2NH2,CH2NH,(C)3N,ACNH2,PYRIDINE,CH2CN,COOH,CCL,CCL2,CCL3,CCL4,ACCL,CNO2,ACNO2,CS2,CH3SH,FURFURAL,DOH,I,BR,C=-C,DMSO,ACRY,CLCC,ACF,DMF,CF2,COO,CY-CH2,CY-CH2O,CHCL3,CY-CONC,CONR,CONR2,HCONR,ACS,EPOXIDES,CARBONAT,SULFONE,CH2S,Molecular formula,CAS No,Mol.Weight,Tc [K],Tm [K],Dipol Mom.,Polarizab.,Anisotr.,norm. Aniso.,H-Bond Acc.,H-Bond Don.,Dipol Mom._normed,Polarizab._normed,Anisotr._normed,norm. Aniso._normed,H-Bond Acc._normed,H-Bond Don._normed,training samples,AN_short,AN_long,AN_cyc,EN_lin,EN_branch,C_ARO_small,C_ARO_kond,POL_ARO_all,POL_ARO_ether,POL_ARO_on,H_ARO_all,HET_ARO_all,XALK_cl,XALK_br,XALK_i,OL_wl,OL_wul,OL_diol,OL_fol,OL_polyol,OL_etherol,OL_biol,COO_wl,COO_wul,COO_aro,COO2_small,COO2_med,COO2_long,NHR_ion,NHR_tert,NHR_long,ON_wl,ON_wul,COC_cyc,COC_wl,COC_wul,CN_wl,CN_wul,NO2_wl,NO2_wul,COOH_all,FF_all,CONR_wl,CONR_wul,PO_wl,PO_wul,S_POL_all,S_NPOL_all,FACID_all,H2O_all,Exo
110,Methanol,-0.418922871128871,0.292349201798202,-1.72628590409591,-0.00523432518391609,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CH4O,67-56-1,32.0422,512.6,175.25,1.7008,18.82573,2.74266,0.145686780804782,0.0,0.0312090381374446,-0.1211559625005519,-1.1332719385563612,-1.0691305413084742,-1.3352914309556696,-0.7767356676836642,2.2064910447546247,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2-Methoxyethanol,-0.0785152824924076,-0.412480353646354,-1.37330534465535,0.0966494151408592,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H8O2,109-86-4,76.0953,597.6,188.05,0.4062,47.50709,14.39485,0.30300424631355,0.0262829358039293,0.0131414679019647,-1.0035446652128144,-0.6773242115515228,-0.7204218530555595,-0.5226462865158645,0.8401702868137412,0.7160396691121795,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Nitromethane,0.454134243893106,-0.738228111888112,-1.90142533466533,-0.161271802808192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CH3NO2,75-52-5,61.04,588.0,244.6,3.5827,29.25127,13.88303,0.474612897149423,0.081913499344692,0.0,1.1615315854943553,-0.9675370757117113,-0.7357388089944523,0.36382195395973316,4.262519681574202,-0.36804184584334126,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,1-Nitropropane,0.0364645847652348,-0.843600913086913,-0.879214195804196,-0.401190409310689,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H7NO2,108-03-2,89.0941,606.0,169.16,3.7398,41.05672,16.57874,0.403800888137192,0.0561205019417694,0.0,1.268609652230101,-0.7798657765205549,-0.655065776885444,-0.0019672806031005314,2.675754359913036,-0.36804184584334126,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,Octane,-0.0191085346663336,0.354511257142858,-0.0787945730269731,2.22777676323676,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8H18,111-65-9,114.231,568.8,216.35,0.0,100.56102,37.49896,0.372897570052491,0.0,0.0,-1.280407241330319,0.16607438573165367,-0.028997846808575277,-0.16160264789937437,-0.7767356676836642,-0.36804184584334126,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1-Octene,-0.0030966571998002,0.0329864639000999,-0.0319260854933067,0.0683257710989011,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C8H16,111-66-0,112.215,566.6,171.45,0.4759,100.08346,45.86242,0.458241751434253,0.0,0.0,-0.9560377189907809,0.15848261196261243,0.22129082560886065,0.27925453462505073,-0.7767356676836642,-0.36804184584334126,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Pentane,-0.154286059549051,0.436087373326674,-0.114268411788212,2.31469921078921,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12,109-66-0,72.1503,469.7,143.45,0.0928,63.58779,16.90655,0.265877301286929,0.0,0.0,-1.2171555252699928,-0.421689241185867,-0.645255587118869,-0.7144306602736884,-0.7767356676836642,-0.36804184584334126,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1-Pentanol,-0.262302529962038,0.197275522917083,-0.670866216983017,-0.287207682737263,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H12O,71-41-0,88.1497,586.0,194.25,1.464,67.35958,21.36893,0.317236687045852,0.0,0.0113442994895065,-0.28255689313724575,-0.36172907621323047,-0.5117123925532087,-0.4491266438161293,-0.7767356676836642,0.5677855265961355,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2-Pentanone,0.168442311414985,-0.0114828140949051,-0.557949378621379,-0.359469031619381,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C5H10O,107-87-9,86.1338,561.19,196.25,2.7597,63.80234,19.67025,0.308299820978353,0.0232196345229526,0.0,0.6005815605196975,-0.4182785387356035,-0.5625478556345231,-0.49529126255553524,0.6517183528828951,-0.36804184584334126,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Phenol,0.239183987563436,-0.283942636763237,-1.30101068931069,-0.44080156963037,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H6O,108-95-2,94.113,694.2,314.05,1.3215,70.1847,45.00414,0.641224369413847,0.0,0.0106255246352789,-0.3796837200617765,-0.31681812908534274,0.19560555159996518,1.2244765768001016,-0.7767356676836642,0.5084915010964045,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
